wfpp,wikidata,label
https://wfpp.columbia.edu/person/pearl-ing/,Q16012360,Yin Mingzhu
https://wfpp.columbia.edu/person/pearl-white/,Q271575,Pearl White
https://wfpp.columbia.edu/person/phyllis-mcdonagh/,Q7188599,Phyllis McDonagh
https://wfpp.columbia.edu/person/pu-shunqing-2/,Q22958105,Pu Shunqing
https://wfpp.columbia.edu/person/ray-lewis/,Q89053934,Ray Lewis
https://wfpp.columbia.edu/person/renee-deliot/,Q88324078,Renée Deliot
https://wfpp.columbia.edu/person/rosa-porten/,Q1475876,Rosa Porten
https://wfpp.columbia.edu/person/rosario-rodriguez-de-la-serna/,Q89052267,Rosario Rodríguez de la Serna
https://wfpp.columbia.edu/person/rosesmith/,,
https://wfpp.columbia.edu/person/ruth-ann-baldwin/,Q18715873,Ruth Ann Baldwin
https://wfpp.columbia.edu/person/ruth-bryan-owen/,Q1776019,Ruth Bryan Owen
https://wfpp.columbia.edu/person/ruth-ellen-gould-dolese/,,
https://wfpp.columbia.edu/person/ruth-goetz/,Q2177616,Ruth Goetz
https://wfpp.columbia.edu/person/ruth-harriet-louise/,Q129349,Ruth Harriet Louise
https://wfpp.columbia.edu/person/ruth-stonehouse/,Q2012877,Ruth Stonehouse
https://wfpp.columbia.edu/person/sabahat-filmer/,,
https://wfpp.columbia.edu/person/sada-cowan/,Q18715894,Sada Cowan
https://wfpp.columbia.edu/person/sarah-bernhardt/,Q4605,Sarah Bernhardt
https://wfpp.columbia.edu/person/sarah-y-mason/,Q2224530,Sarah Y. Mason
https://wfpp.columbia.edu/person/senora-spencer/,Q89045173,Señora Spencer
https://wfpp.columbia.edu/person/sonya-levien/,Q434645,Sonya Levien
https://wfpp.columbia.edu/person/stefania-socha/,,
https://wfpp.columbia.edu/person/stefania-zahorska/,Q7606374,Stefania Zahorska
https://wfpp.columbia.edu/person/stella-f-simon/,Q21078255,Stella F. Simon
https://wfpp.columbia.edu/person/suzanne-marwille/,Q769378,Suzanne Marwille
https://wfpp.columbia.edu/person/tazuko-sakane/,Q7402811,Tazuko Sakane
https://wfpp.columbia.edu/person/teresita-arce/,Q47849899,Teresita Arce
https://wfpp.columbia.edu/person/texas-guinan/,Q3519338,Texas Guinan
https://wfpp.columbia.edu/person/thea-cervenkova/,Q12058875,Thea Červenková
https://wfpp.columbia.edu/person/thea-von-harbou/,Q58866,Thea von Harbou
https://wfpp.columbia.edu/person/tildy-winks/,,
https://wfpp.columbia.edu/person/tressie-souders/,Q19592397,Tressie Souders
https://wfpp.columbia.edu/person/tsuru-aoki/,Q4936315,Tsuru Aoki
